economic_activity,keywords_in_title,keyword_in_text_at_least2_1,keyword_in_text_at_least2_2
Agriculture,non-perennial crops,grow,growing
Agriculture,cereals,grow,growing
Agriculture,leguminous crops,grow,growing
Agriculture,oil seeds,grow,growing
Agriculture,rice,grow,growing
Agriculture,vegetables,grow,growing
Agriculture,melons,grow,growing
Agriculture,roots,grow,growing
Agriculture,tubers,grow,growing
Agriculture,sugar cane,grow,growing
Agriculture,tobacco,grow,growing
Agriculture,fibre crops,grow,growing
Agriculture,grapes,grow,growing
Agriculture,fruit,grow,growing
Agriculture,drug,grow,growing
Agriculture,plant propagation,null,null
Agriculture,animal production,null,null
Agriculture,cattle,raising,raise
Agriculture,buffaloes,raising,raise
Agriculture,horses,raising,raise
Agriculture,camels,raising,raise
Agriculture,camelids,raising,raise
Agriculture,sheep,raising,raise
Agriculture,goats,raising,raise
Agriculture,swine,raising,raise
Agriculture,pigs,raising,raise
Agriculture,poultry,raising,raise
Agriculture,animals,raising,raise
Agriculture,mixed farming,null,null
Agriculture,harvest,null,null
Agriculture,animal production,null,null
Agriculture,seed processing,null,null
Agriculture,hunting,null,null
Agriculture,trapping,null,null
Agriculture,silvicutlure,null,null
Agriculture,forestry,null,null
Agriculture,logging,null,null
Agriculture,fishing,null,null
Agriculture,marine fishing,null,null
Agriculture,freshwater fishing,null,null
Agriculture,aqualculture,null,null
Agriculture,marine aquaculture,null,null
Agriculture,freshwater aquaculture,null,null
Mining,hard coal,mining,mine
Mining,lignite,mining,mine
Mining,iron,mining,mine
Mining,metal,mining,mine
Mining,uranium,mining,mine
Mining,thorium,mining,mine
Mining,ores,mining,mine
Mining,non-ferrous metal,mining,mine
Mining,chemical materials,mining,mine
Mining,fertilizer minerals,mining,mine
Mining,crude petroleum,extraction,extract
Mining,natural gas,extraction,extract
Mining,peat,extraction,extract
Mining,salt,extraction,extract
Manufacturing,meat,processing,preserving
Manufacturing,fish,processing,preserving
Manufacturing,crustaceans,processing,preserving
Manufacturing,molluscs,processing,preserving
Manufacturing,vegetable,manufacture,manufacturing
Manufacturing,animal oils,manufacture,manufacturing
Manufacturing,fats,manufacture,manufacturing
Manufacturing,dairy products,manufacture,manufacturing
Manufacturing,starches,manufacture,manufacturing
Manufacturing,starch products,manufacture,manufacturing
Manufacturing,food,manufacture,manufacturing
Manufacturing,bakery,manufacture,manufacturing
Manufacturing,sugar,manufacture,manufacturing
Manufacturing,cocoa,manufacture,manufacturing
Manufacturing,chocolate,manufacture,manufacturing
Manufacturing,sugar confectionery,manufacture,manufacturing
Manufacturing,macaroni,manufacture,manufacturing
Manufacturing,noodls,manufacture,manufacturing
Manufacturing,couscous,manufacture,manufacturing
Manufacturing,farinaceous products,manufacture,manufacturing
Manufacturing,prepared meals,manufacture,manufacturing
Manufacturing,prepared dishes,manufacture,manufacturing
Manufacturing,food products,manufacture,manufacturing
Manufacturing,prepared animal feeds,manufacture,manufacturing
Manufacturing,wines,manufacture,manufacturing
Manufacturing,malt liquors,manufacture,manufacturing
Manufacturing,malt,manufacture,manufacturing
Manufacturing,soft drinks,manufacture,manufacturing
Manufacturing,mineral waters,manufacture,manufacturing
Manufacturing,bottled waters,manufacture,manufacturing
Manufacturing,tobacco,manufacture,manufacturing
Manufacturing,textiles,manufacture,manufacturing
Manufacturing,knitted fabrics,manufacture,manufacturing
Manufacturing,crocheted fabrics,manufacture,manufacturing
Manufacturing,made-up textule articles,manufacture,manufacturing
Manufacturing,carpets,manufacture,manufacturing
Manufacturing,rugs,manufacture,manufacturing
Manufacturing,cordage,manufacture,manufacturing
Manufacturing,rope,manufacture,manufacturing
Manufacturing,twine,manufacture,manufacturing
Manufacturing,netting,manufacture,manufacturing
Manufacturing,wearing apparel,manufacture,manufacturing
Manufacturing,fur,manufacture,manufacturing
Manufacturing,luggage,manufacture,manufacturing
Manufacturing,handbags,manufacture,manufacturing
Manufacturing,saddlery,manufacture,manufacturing
Manufacturing,harness,manufacture,manufacturing
Manufacturing,footwear,manufacture,manufacturing
Manufacturing,wood,manufacture,manufacturing
Manufacturing,cork,manufacture,manufacturing
Manufacturing,straw,manufacture,manufacturing
Manufacturing,plaiting meterials,manufacture,manufacturing
Manufacturing,veneer sheets,manufacture,manufacturing
Manufacturing,wood-based panels,manufacture,manufacturing
Manufacturing,wooden containers,manufacture,manufacturing
Manufacturing,pulp,manufacture,manufacturing
Manufacturing,paper,manufacture,manufacturing
Manufacturing,paperboard,manufacture,manufacturing
Manufacturing,coce oven products,manufacture,manufacturing
Manufacturing,refined petroleum products,manufacture,manufacturing
Manufacturing,basic chemicals,manufacture,manufacturing
Manufacturing,fertilizers,manufacture,manufacturing
Manufacturing,nitrogen compounds,manufacture,manufacturing
Manufacturing,plastsics,manufacture,manufacturing
Manufacturing,synthetic rubber,manufacture,manufacturing
Manufacturing,pesticides,manufacture,manufacturing
Manufacturing,agrochemical products,manufacture,manufacturing
Manufacturing,paoints,manufacture,manufacturing
