economic_activity,keywords_in_title,keyword_in_text_at_least2_1,keyword_in_text_at_least2_2
"Agriculture, forestry and fishing",non-perennial crops,grow*,
"Agriculture, forestry and fishing",cereals,grow*,
"Agriculture, forestry and fishing",leguminous crops,grow*,
"Agriculture, forestry and fishing",oil seeds,grow*,
"Agriculture, forestry and fishing",rice,grow*,
"Agriculture, forestry and fishing",vegetables,grow*,
"Agriculture, forestry and fishing",melons,grow*,
"Agriculture, forestry and fishing",roots,grow*,
"Agriculture, forestry and fishing",tubers,grow*,
"Agriculture, forestry and fishing",sugar cane,grow*,
"Agriculture, forestry and fishing",tobacco,grow*,
"Agriculture, forestry and fishing",fibre crops,grow*,
"Agriculture, forestry and fishing",grapes,grow*,
"Agriculture, forestry and fishing",fruit,grow*,
"Agriculture, forestry and fishing",drug,grow*,
"Agriculture, forestry and fishing",plant propagation,,
"Agriculture, forestry and fishing",animal production,,
"Agriculture, forestry and fishing",cattle,raising*,
"Agriculture, forestry and fishing",buffaloes,raising*,
"Agriculture, forestry and fishing",horses,raising*,
"Agriculture, forestry and fishing",camels,raising*,
"Agriculture, forestry and fishing",camelids,raising*,
"Agriculture, forestry and fishing",sheep,raising*,
"Agriculture, forestry and fishing",goats,raising*,
"Agriculture, forestry and fishing",swine,raising*,
"Agriculture, forestry and fishing",pigs,raising*,
"Agriculture, forestry and fishing",poultry,raising*,
"Agriculture, forestry and fishing",animals,raising*,
"Agriculture, forestry and fishing",mixed farming,,
"Agriculture, forestry and fishing",harvest,,
"Agriculture, forestry and fishing",animal production,,
"Agriculture, forestry and fishing",seed processing,,
"Agriculture, forestry and fishing",hunting,,
"Agriculture, forestry and fishing",trapping,,
"Agriculture, forestry and fishing",silvicutlure,,
"Agriculture, forestry and fishing",forestry,,
"Agriculture, forestry and fishing",logging,,
"Agriculture, forestry and fishing",fishing,,
"Agriculture, forestry and fishing",marine fishing,,
"Agriculture, forestry and fishing",freshwater fishing,,
"Agriculture, forestry and fishing",aqualculture,,
"Agriculture, forestry and fishing",marine aquaculture,,
"Agriculture, forestry and fishing",freshwater aquaculture,,
"Mining, Quarrying/Extraction of Stone/Oil and Gas",hard coal,mining,mine*
"Mining, Quarrying/Extraction of Stone/Oil and Gas",lignite,mining,mine*
"Mining, Quarrying/Extraction of Stone/Oil and Gas",iron,mining,mine*
"Mining, Quarrying/Extraction of Stone/Oil and Gas",metal,mining,mine*
"Mining, Quarrying/Extraction of Stone/Oil and Gas",uranium,mining,mine*
"Mining, Quarrying/Extraction of Stone/Oil and Gas",thorium,mining,mine*
"Mining, Quarrying/Extraction of Stone/Oil and Gas",ores,mining,mine*
"Mining, Quarrying/Extraction of Stone/Oil and Gas",non-ferrous metal,mining,mine*
"Mining, Quarrying/Extraction of Stone/Oil and Gas",chemical materials,mining,mine*
"Mining, Quarrying/Extraction of Stone/Oil and Gas",fertilizer minerals,mining,mine*
"Mining, Quarrying/Extraction of Stone/Oil and Gas",crude petroleum,extraction,
"Mining, Quarrying/Extraction of Stone/Oil and Gas",natural gas,extraction,
"Mining, Quarrying/Extraction of Stone/Oil and Gas",peat,extraction,
"Mining, Quarrying/Extraction of Stone/Oil and Gas",salt,extraction,
Manufacturing,meat,process*,preserv*
Manufacturing,fish,process*,preserv*
Manufacturing,crustaceans,process*,preserv*
Manufacturing,molluscs,process*,preserv*
Manufacturing,vegetable,manufactur*,
Manufacturing,animal oils,manufactur*,
Manufacturing,fats,manufactur*,
Manufacturing,dairy products,manufactur*,
Manufacturing,starches,manufactur*,
Manufacturing,starch products,manufactur*,
Manufacturing,food,manufactur*,
Manufacturing,bakery,manufactur*,
Manufacturing,sugar,manufactur*,
Manufacturing,cocoa,manufactur*,
Manufacturing,chocolate,manufactur*,
Manufacturing,sugar confectionery,manufactur*,
Manufacturing,macaroni,manufactur*,
Manufacturing,noodls,manufactur*,
Manufacturing,couscous,manufactur*,
Manufacturing,farinaceous products,manufactur*,
